id,family,jurisdiction,document,claim_id,claim_text,nature,novandino_correlate,correlate_status,literal_overlap,functional_overlap,difference_material,risk,evidence_required,source_url,source_file
NOV-C002,US11219863 / CN109368670 / WO2020073611,US,US11219863B2,Claim 3/4,Feed Li 0.2–5.0 g/L y Mg/Li 6–180:1; diluciones 0.5–4.5x y 3.5–20x.,Elemento cuantitativo,El expediente Novandino no tiene aún tabla única de corrientes que permita decir si cae dentro de estos rangos.,FALTANTE,Media,Media,"Podría haber coincidencia parcial de feed composition, pero sin la arquitectura completa del claim sigue pesando la diferencia estructural.",Medio,Pedir composiciones reales de alimentación a NF y relación Mg/Li.,https://patents.google.com/patent/US20200306696A1/en,Claim charts profundos Tier1
NOV-C002,US11219863 / CN109368670 / WO2020073611,US,US11219863B2,Claim 5,NF con membrana selectiva a iones monovalentes; al menos dos etapas; múltiples secciones en serie; reciclo del concentrado NF por dispositivo de recuperación de energía.,Elemento dependiente crítico de NF,"Novandino tiene NF confirmada, pero no están cerrados tipo de membrana, cantidad de etapas, secciones ni energy recovery sobre el concentrado.",FALTANTE,Media,Alta,Éste es el dependiente más sensible de la familia para Novandino si el diseño de NF resulta sofisticado.,Medio,"Urgente: ficha de membrana, staging, recirculación, presión, recuperación, energy recovery si existe.",https://patents.google.com/patent/US20200306696A1/en,Claim charts profundos Tier1
NOV-C002,US11219863 / CN109368670 / WO2020073611,US,US11219863B2,Claim 6,"Dos etapas NF, tres secciones por etapa, ratios de membrana específicos, 1.0–5.0 MPa, permeado 0.2–2.0 g/L Li y Mg/Li 0.02–0.5.",Elemento cuantitativo-operacional,No disponible en expediente Novandino.,FALTANTE,Baja,Media,Sin esos parámetros no puede subirse el riesgo; hoy sigue siendo hipótesis de comparación.,Medio,Pedir vendor data y diseño base de NF.,https://patents.google.com/patent/US20200306696A1/en,Claim charts profundos Tier1
NOV-C002,US11219863 / CN109368670 / WO2020073611,US,US11219863B2,Claim 7/8,RO multisección y recycle del permeado RO a pretreatment.,Dependiente RO,Novandino no tiene RO confirmada.,CONFIRMADO (diferencia),Nula,Baja,Diferencia fuerte.,Bajo,Ninguna inmediata; sólo monitorear si el flowsheet cambia.,https://patents.google.com/patent/US20200306696A1/en,Claim charts profundos Tier1
NOV-C002,US11219863 / CN109368670 / WO2020073611,US,US11219863B2,Claim 9/10,"ED con membranas homogéneas/semi-homogéneas/no homogéneas; recycle del permeado ED; concentrado Li 14–21 g/L, Mg/Li 0.07–0.2.",Dependiente ED,Novandino no tiene ED confirmada.,CONFIRMADO (diferencia),Nula,Baja,Diferencia estructural y operacional.,Bajo,"Ninguna inmediata, salvo vigilancia si se adopta ED.",https://patents.google.com/patent/US20200306696A1/en,Claim charts profundos Tier1
NOV-C002,US11219863 / CN109368670 / WO2020073611,,"Conclusión operativa US11219863: el claim independiente está hoy materialmente diferenciado de Novandino por la ausencia documentada de RO y ED y por no observarse un pretreatment aged-brine con doble dilución/doble filtración. El riesgo no desaparece: si la NF Novandino usa membranas monovalent-selective, staging multietapa y recirculación sofisticada, el dependiente 5/6 puede ganar peso.",,,,,,,,,No definido,,,Claim charts profundos Tier1
NOV-C003,US11203542 / CN110603339 / WO2018208305,US,US11203542B2,Claim 1-A,Método para ablandar salmuera de litio mediante una primera unidad NF y una segunda unidad NF en serie; la salmuera se permea al menos dos veces.,Elemento esencial de arquitectura,"El expediente Novandino sí contempla NF, pero no acredita todavía una arquitectura de dos pasos NF en serie para “softening” de la salmuera de litio.",Inferido,,,,No definido,,,Claim charts profundos Tier1
NOV-C003,US11203542 / CN110603339 / WO2018208305,US,US11203542B2,Claim 1-B,Una primera permeada sale de la primera NF y alimenta la segunda NF.,Elemento estructural de staging,Hoy Novandino no acredita un staging NF upstream→downstream con permeada intermedia como alimentación principal de una segunda NF.,Faltante,,,,No definido,,,Claim charts profundos Tier1
NOV-C003,US11203542 / CN110603339 / WO2018208305,US,US11203542B2,Claim 1-C,Se añade sulfato a la primera permeada antes de la segunda NF.,Elemento esencial y diferenciador,"El expediente Novandino no describe dosificación de sulfato entre pasos NF; el reactivo crítico conocido es KCl en cristalización, no sulfato para acondicionar NF.",Confirmado,,,,No definido,,,Claim charts profundos Tier1
NOV-C003,US11203542 / CN110603339 / WO2018208305,US,US11203542B2,Claim 1-D,La dosificación de sulfato se ajusta a ~70–80% de la suma molar Ca2+ + Mg2+.,Limitación cuantitativa importante,"No existe en Novandino, según expediente, ninguna ventana equivalente de dosificación de sulfato para NF.",Confirmado,,,,No definido,,,Claim charts profundos Tier1
NOV-C003,US11203542 / CN110603339 / WO2018208305,US,US11203542B2,Claim 1-E,El sistema busca bajar Ca/Mg o dureza a 20 ppm o menos en la salmuera suavizada.,Resultado funcional / performance,"Novandino busca separar Mg/Li, pero no ha fijado objetivo documental de dureza ≤20 ppm en una salmuera suavizada NF de este tipo.",Faltante,,,,No definido,,,Claim charts profundos Tier1
NOV-C003,US11203542 / CN110603339 / WO2018208305,US,US11203542B2,Downstream-A,"La memoria vincula el softening NF con SX, electrólisis y cristalización/secado para producir LiOH·H2O.",Contexto downstream; no necesariamente limitante del claim principal,Novandino no sigue esta ruta downstream; su relato actual va por cristalización reactiva con KCl + NF + concentración hídrica.,Confirmado,,,,No definido,,,Claim charts profundos Tier1
NOV-C003,US11203542 / CN110603339 / WO2018208305,US,US11203542B2,Conclusión preliminar,La familia ocupa un subespacio técnico específico: NF multipaso en serie + sulfato intermedio para ablandar lithium brine.,Síntesis analítica,"Novandino hoy parece fuera del literal central, pero podría acercarse si rediseña NF como softening en dos pasos con acondicionamiento sulfato.",Mixto,,,,No definido,,,Claim charts profundos Tier1
NOV-C004,CN103074502,CN,CN103074502B,Claim 1 / S1,Evaporación multietapa en salinas para obtener primera salmuera envejecida; Li 2–3 g/L y Mg/Li 40–55.,Elemento esencial upstream,"Novandino sí contempla preconcentración/evaporación previa, pero no tiene aún fijada en expediente la ventana exacta 2–3 g/L ni Mg/Li 40–55.",Inferido,,,,No definido,,,Claim charts profundos Tier1
NOV-C004,CN103074502,CN,CN103074502B,Claim 1 / S2,Desulfuración con leche de cal para precipitar yeso y generar segunda salmuera envejecida.,Elemento esencial químico,Novandino no describe desulfuración con cal como eje del proceso; el reactivo central reportado es KCl.,Confirmado,,,,No definido,,,Claim charts profundos Tier1
NOV-C004,CN103074502,CN,CN103074502B,Claim 1 / S3,Nueva evaporación en salinas y precipitación de carnalita hidratada / sales previas para obtener tercera salmuera envejecida.,Elemento esencial intermedio,"Novandino también contempla cristalización/precipitación intermedia, pero su narrativa actual es reacción-cristalización con KCl bajo condiciones distintas.",Inferido,,,,No definido,,,Claim charts profundos Tier1
NOV-C004,CN103074502,CN,CN103074502B,Claim 1 / S4,"Diluir la tercera old brine y tratarla por NF para obtener agua producto rica en Li y concentrado pobre en Li; Li en salmuera diluida ~0.25–0.45 g/L, dilución ~15x.",Elemento esencial NF,"Novandino sí ubica NF después de cristalización según expediente actual, pero no ha fijado aún si la alimentación NF se diluye a esta ventana ni con esa razón.",Faltante,,,,No definido,,,Claim charts profundos Tier1
NOV-C004,CN103074502,CN,CN103074502B,Claim 1 / S5,Enviar el producto de NF a RO para concentrar Li a 5–10 g/L y producir agua fresca.,Elemento esencial downstream,Novandino no acredita hoy un paso RO explícito posterior a NF.,Confirmado,,,,No definido,,,Claim charts profundos Tier1
NOV-C004,CN103074502,CN,CN103074502B,Claims 5-6,Pretratamiento previo a NF con cartridge filter y membrana cerámica; retorno del agua fresca de RO como agua de dilución a S4.,Dependientes relevantes de integración hídrica,"Novandino sí habla de recuperación hídrica y cierre de agua, pero no ha demostrado aún un loop RO→dilución NF equivalente ni un pretratamiento cerámico idéntico.",Faltante,,,,No definido,,,Claim charts profundos Tier1
NOV-C004,CN103074502,CN,CN103074502B,Claims 9-11,"Deep demagging del concentrado de RO hasta Mg<0.3 mg/L, nueva evaporación a 33–38 g/L Li y eventual producción de Li2CO3.",Downstream ampliado,Novandino no tiene esta cola downstream definida así.,Confirmado,,,,No definido,,,Claim charts profundos Tier1
NOV-C004,CN103074502,CN,CN103074502B,Conclusión preliminar,Familia muy cercana estructuralmente en el eje evaporación→cristalización/old brine→dilución→NF; diferencia más fuerte actual: química y secuencia propias de KCl + ausencia documental de S2/S5 idénticos.,Síntesis analítica,Es una familia de riesgo alto condicional si Novandino no puede demostrar diferencias operacionales y de staging suficientemente claras.,Mixto,,,,No definido,,,Claim charts profundos Tier1
